排名,單字,總頻率
385,"bathroom",6
386,"cabinet",6
387,"wood",6
388,"inspiration",6
389,"months",6
390,"artists",6
391,"stye",6
392,"symptoms",6
393,"circle",6
394,"documents",6
395,"cognitive",6
396,"brazil",6
397,"weapons",6
398,"protect",6
399,"fur",6
400,"cookie",6
401,"environmental",6
402,"lyrics",6
403,"proposed",6
404,"april",6
405,"glasses",6
406,"release",6
407,"leaf",6
408,"motion",6
409,"monday",6
410,"earliest",6
411,"boat",6
412,"trading",6
413,"virgin",6
414,"iron",6
415,"lightning",6
416,"sullivan",6
417,"passport",6
418,"festival",6
419,"dances",6
420,"booth",6
421,"parks",6
422,"share",6
423,"retina",6
424,"yusra",6
425,"popole",6
426,"gravity",6
427,"spices",6
428,"greenburger",6
429,"mestral",6
430,"velcro",6
431,"oddsson",6
432,"knight",6
433,"introduce",5
434,"brown",5
435,"holes",5
436,"hardly",5
437,"forced",5
438,"writing",5
439,"dr",5
440,"measures",5
441,"half",5
442,"racial",5
443,"reading",5
444,"county",5
445,"greater",5
446,"average",5
447,"religious",5
448,"learned",5
449,"wrapped",5
450,"entertainment",5
451,"film",5
452,"diamonds",5
453,"supply",5
454,"goods",5
455,"causes",5
456,"surrounded",5
457,"former",5
458,"noticed",5
459,"snack",5
460,"reports",5
461,"commercial",5
462,"laboratory",5
463,"individual",5
464,"touching",5
465,"cases",5
466,"slow",5
467,"discussed",5
468,"rate",5
469,"non",5
470,"language",5
471,"experiment",5
472,"plays",5
473,"seeing",5
474,"traditionally",5
475,"ran",5
476,"basketball",5
477,"suffering",5
478,"sit",5
479,"hurt",5
480,"currently",5
481,"direction",5
482,"couldn",5
483,"recover",5
484,"california",5
485,"forms",5
486,"bark",5
487,"pretty",5
488,"thick",5
489,"benefit",5
490,"rising",5
491,"produced",5
492,"full",5
493,"traveling",5
494,"shooting",5
495,"event",5
496,"deal",5
497,"flight",5
498,"jack",5
499,"mr",5
500,"rich",5
501,"economic",5
502,"scientific",5
503,"homes",5
504,"industries",5
505,"except",5
506,"chief",5
507,"conflict",5
508,"objective",5
509,"typhoons",5
510,"chosen",5
511,"composed",5
512,"female",5
513,"wearer",5
514,"pattern",5
515,"designs",5
516,"items",5
517,"band",5
518,"raised",5
519,"francisco",5
520,"walk",5
521,"initially",5
522,"everything",5
523,"worked",5
524,"student",5
525,"whenever",5
526,"wife",5
527,"mid",5
528,"cooking",5
529,"looked",5
530,"captured",5
531,"range",5
532,"calling",5
533,"lion",5
534,"position",5
535,"follow",5
536,"awake",5
537,"prefer",5
538,"relatively",5
539,"understanding",5
540,"annoying",5
541,"chance",5
542,"build",5
543,"contest",5
544,"populations",5
545,"distance",5
546,"collect",5
547,"weight",5
548,"roughly",5
549,"standard",5
550,"collected",5
551,"fighting",5
552,"warming",5
553,"frequently",5
554,"issued",5
555,"origin",5
556,"functions",5
557,"sold",5
558,"budget",5
559,"necessary",5
560,"stopped",5
561,"miles",5
562,"paint",5
563,"broken",5
564,"drunk",5
565,"drank",5
566,"takes",5
567,"commonly",5
568,"nowadays",5
569,"constant",5
570,"marriage",5
571,"couple",5
572,"financial",5
573,"pay",5
574,"streets",5
575,"month",5
576,"warm",5
577,"decisions",5
578,"residents",5
579,"university",5
580,"costs",5
581,"village",5
582,"syria",5
583,"birth",5
584,"greek",5
585,"writer",5
586,"sort",5
587,"athens",5
588,"scenes",5
589,"formed",5
590,"lose",5
591,"complex",5
592,"street",5
593,"period",5
594,"decisive",5
595,"lucky",5
596,"passing",5
597,"discrimination",5
598,"published",5
599,"prize",5
600,"kids",5
601,"providing",5
602,"professors",5
603,"certainly",5
604,"waiting",5
605,"spending",5
606,"location",5
607,"speed",5
608,"safety",5
609,"predicted",5
610,"david",5
611,"tai",5
612,"chi",5
613,"martial",5
614,"ts",5
615,"stress",5
616,"condition",5
617,"barely",5
618,"paperclip",5
619,"sheets",5
620,"occupied",5
621,"singers",5
622,"spirits",5
623,"leading",5
624,"describes",5
625,"remained",5
626,"photo",5
627,"fat",5
628,"amounts",5
629,"exercising",5
630,"case",5
631,"woods",5
632,"typical",5
633,"price",5
634,"polygraph",5
635,"trained",5
636,"political",5
637,"kareem",5
638,"reported",5
639,"official",5
640,"sports",5
641,"sink",5
642,"learning",5
643,"convenient",5
644,"contained",5
645,"healing",5
646,"innovative",5
647,"footwear",5
648,"rubber",5
649,"toe",5
650,"efficiency",5
651,"actual",5
652,"recently",5
653,"closest",5
654,"techniques",5
655,"arms",5
656,"hometown",5
657,"illustrator",5
658,"fishing",5
659,"ad",5
660,"britain",5
661,"ceremony",5
662,"manager",5
663,"diet",5
664,"lucid",5
665,"thank",5
666,"river",5
667,"pr",5
668,"ing",5
669,"begins",5
670,"scary",5
671,"wh",5
672,"pesticide",5
673,"leaving",5
674,"swimming",5
675,"desalinating",5
676,"desalination",5
677,"melody",5
678,"babies",5
679,"holiday",5
680,"pineapple",5
681,"image",5
682,"remains",5
683,"flavor",5
684,"dad",5
685,"specific",5
686,"bright",5
687,"carved",5
688,"placed",5
689,"walls",5
690,"located",5
691,"stuck",5
692,"trigger",5
693,"bedbugs",5
694,"refugee",5
695,"genes",5
696,"toes",5
697,"sandals",5
698,"flops",5
699,"improve",5
700,"rtri",5
701,"sites",5
702,"strike",5
703,"busy",5
704,"medieval",5
705,"towns",5
706,"armonica",5
707,"warrior",5
708,"beadwork",5
709,"mystery",5
710,"network",5
711,"shyness",5
712,"astronauts",5
713,"fluid",5
714,"archipelago",5
715,"traders",5
716,"chatroom",5
717,"hotel",5
718,"sasaki",5
719,"hey",5
720,"jackdaws",5
721,"cathedral",5
722,"russians",5
